,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
7,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
12,10/3/2018,twitter,(b2c)(l-all)(r-swe)(keywords),dd6-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
13,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Other,New York,Non-Core,,1,0,1,0,0
19,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,,London,Non-Core,,1,0,0,0,0
31,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
900,10/26/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
1598,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static4%),dd3-all,Project Management,New York,Non-Core,,1,0,1,1,0
80,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,Data Analytics,Boston,Non-Core,,1,0,1,0,0
83,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Data Analytics,Boston,Non-Core,,1,0,1,0,0
2236,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Project Management,New York,Non-Core,,1,0,1,1,0
96,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
4829,10/26/2018,facebook,(b2c)(sea)(r-all)(conversion-us-coreqob_static),sea,Project Management,Seattle,Non-Core,,5,0,1,1,0
124,10/9/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,3,0,0,0,0
5829,10/26/2018,facebook,(b2c)(nyc)(r-all)(conversion-us-coreqob_static),nyc-all,Design,New York,Non-Core,,1,0,1,1,0
135,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,,New York,Non-Core,,2,0,0,0,0
136,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Data Analytics,Boston,Non-Core,,1,0,0,0,0
141,10/26/2018,facebook,(b2c)(sf)(r-all)(conversion-us-coreqob_static),sf-all,Information Technology (IT),SF Bay Area,Non-Core,,2,0,0,0,0
146,10/3/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Other,France,Non-Core,,1,0,0,0,0
148,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
157,10/6/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,Data Analytics,Boston,Non-Core,,1,0,0,0,0
6735,10/26/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Data Analytics,France,Non-Core,,1,0,1,1,0
167,10/21/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd7-all,Engineering Management,New York,Non-Core,,1,0,0,0,0
180,10/20/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Other,,Non-Core,,1,0,0,0,0
187,10/13/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,1,0,0,0,0
201,9/24/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Project Management,Dallas/Ft Worth,Non-Core,,1,0,0,0,0
9874,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Product Management,New York,Non-Core,,1,0,1,1,0
212,10/4/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Design,London,Non-Core,,1,0,0,0,0
215,10/18/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd6-all,,Other,Non-Core,,1,0,0,0,0
10650,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static4%),dd3-all,Product Management,New York,Non-Core,,1,0,1,1,0
230,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,,Boston,Non-Core,,1,0,0,0,0
243,9/21/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Quality Assurance (QA),France,Non-Core,,1,0,0,0,0
254,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-dd3),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
255,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Other,SF Bay Area,Non-Core,,1,0,0,0,0
258,10/4/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Other,France,Non-Core,,1,0,0,0,0
273,10/6/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Information Technology (IT),London,Non-Core,,1,0,0,0,0
276,10/25/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Project Management,Other,Non-Core,,1,0,1,0,0
280,9/26/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Design,New York,Non-Core,,1,0,0,0,0
13064,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Engineering Management,France,Core,,1,0,1,1,0
288,10/22/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
295,9/26/2018,facebook,(b2c)(fr)(r-swe)(conversions),,,France,Non-Core,,2,0,0,0,0
308,10/5/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-signup),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
2948,10/25/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Data Analytics,France,Non-Core,,3,0,1,1,0
325,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
3331,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Design,SF Bay Area,Non-Core,,1,0,1,1,0
339,9/30/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Data Analytics,London,Non-Core,,1,0,0,0,0
342,9/13/2018,facebook,(b2c)(sf)(r-swe)(tech-mongogithub-lal1-sf-dnf-split-test-1),link-jobfaster-sf1,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
348,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jk2-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
354,9/13/2018,twitter,(b2c-flex)(l-all)(r-swe)(tech-audswejobtitlescco-all-df),losethedesk,Project Management,Toronto,Non-Core,,1,0,0,0,0
359,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd7-all,Other,SF Bay Area,Non-Core,,1,0,1,0,0
6561,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static4%),dd3-all,Information Technology (IT),Other,Non-Core,,1,0,1,1,0
365,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),dd3-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
385,10/5/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,1,0,0,0,0
392,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,,New York,Non-Core,,1,0,0,0,0
393,10/11/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,2,0,0,0,0
411,10/9/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Other,Seattle,Non-Core,,1,0,0,0,0
412,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
414,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Other,New York,Non-Core,,1,0,0,0,0
415,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Other,New York,Non-Core,,1,0,0,0,0
416,10/22/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd3-all,Data Analytics,Boston,Non-Core,,1,0,0,0,0
429,9/28/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-cc2),cc2-all,Data Analytics,SF Bay Area,Non-Core,,1,0,0,0,0
432,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-HackIntCQOBLAL365-PuzzleEmoji),PuzzleEmoji,Design,SF Bay Area,Non-Core,,1,0,0,0,0
438,10/23/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Other,France,Non-Core,,2,0,0,0,0
441,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob1broad),jj2-all,Other,Other,Non-Core,,1,0,0,0,0
450,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad140),dd3,,,Non-Core,,1,0,0,0,0
453,10/3/2018,twitter,(b2c)(l-all)(r-swe)(techjobtitlesinbio),dd7-all,Data Analytics,New York,Non-Core,,1,0,0,0,0
478,10/22/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Other,Washington D.C.,Non-Core,,1,0,0,0,0
479,10/1/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Project Management,France,Non-Core,,2,0,0,0,0
481,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd7-all,Quality Assurance (QA),SF Bay Area,Non-Core,,1,0,0,0,0
8251,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob1broad),jj2-all,Information Technology (IT),Seattle,Non-Core,,1,0,1,1,0
492,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,,New York,Non-Core,,1,0,0,0,0
500,10/21/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Design,Other,Non-Core,,1,0,0,0,0
504,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jj2-all,Other,London,Non-Core,,1,0,0,0,0
511,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,,London,Non-Core,,1,0,0,0,0
515,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jj2-all,Information Technology (IT),Boston,Non-Core,,1,0,0,0,0
518,10/5/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad60),dd3,Data Analytics,New York,Non-Core,,1,0,0,0,0
526,9/26/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Data Analytics,London,Non-Core,,1,0,0,0,0
532,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),jk2-all,,Boston,Non-Core,,1,0,0,0,0
541,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,Other,SF Bay Area,Non-Core,,1,0,0,0,0
8486,10/25/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
554,10/18/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,1,0,0,0,0
574,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,,SF Bay Area,Non-Core,,1,0,0,0,0
579,9/27/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,,London,Non-Core,,1,0,0,0,0
585,10/14/2018,twitter,(b2c)(l-all)(r-swe)(keywordslladevops),Doug-Challenge,Other,Boston,Non-Core,,1,0,0,0,0
11656,10/25/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd6-all,Engineering Management,Other,Core,,1,0,1,1,0
592,10/16/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Other,Denver,Non-Core,,1,0,1,0,0
599,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Software Engineering,New York,Non-Core,,1,0,0,0,0
12354,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jk2-all,Engineering Management,Chicago,Core,,1,0,1,1,0
609,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),jk2-all,,SF Bay Area,Non-Core,,1,0,0,0,0
620,10/16/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,,Dallas/Ft Worth,Non-Core,,1,0,0,0,0
73,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
662,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Product Management,New York,Non-Core,,1,0,0,0,0
668,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd3),dd3-all,Information Technology (IT),Boston,Non-Core,,1,0,0,0,0
675,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
677,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jk2-all,,New York,Non-Core,,1,0,0,0,0
685,10/5/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Product Management,France,Non-Core,,1,0,0,0,0
696,9/26/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Design,SF Bay Area,Non-Core,,1,0,0,0,0
130,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Design,SF Bay Area,Non-Core,,1,0,1,1,0
719,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,,Boston,Non-Core,,1,0,0,0,0
721,10/22/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Data Analytics,New York,Non-Core,,1,0,0,0,0
738,9/19/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,3,0,0,0,0
742,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd7-all,,Boston,Non-Core,,2,0,0,0,0
1163,10/24/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Product Management,France,Non-Core,,2,0,1,1,0
760,10/20/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
768,10/20/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
1300,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jj2-all,Project Management,France,Non-Core,,1,0,1,1,0
776,10/10/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd7-all,Project Management,New York,Non-Core,,1,0,0,0,0
786,10/13/2018,facebook,(b2c)(l-all)(r-all)(retargeting-us-sitevisitor_8-15d),jj2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
787,10/2/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-cc2),cc2-all,,New York,Non-Core,,2,0,0,0,0
2799,10/24/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Information Technology (IT),Other,Non-Core,,1,0,1,1,0
809,10/7/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,2,0,0,0,0
813,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jk2-all,Data Analytics,Chicago,Non-Core,,1,0,0,0,0
5231,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,Boston,Non-Core,,1,0,1,1,0
836,10/9/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Other,Seattle,Non-Core,,1,0,0,0,0
851,10/18/2018,twitter,(b2c)(l-all)(r-swe)(keywordslladevops),Doug-Dream,Other,New York,Non-Core,,1,0,1,0,0
5850,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Quality Assurance (QA),Seattle,Non-Core,,1,1,1,1,0
856,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,,Seattle,Non-Core,,1,0,0,0,0
876,9/14/2018,facebook,(b2c)(frpar)(r-swe)(tech-mongogithub-laa2-frpar-dnf),link-jobsfindyou,,France,Non-Core,,1,0,0,0,0
881,10/11/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd7-all,Information Technology (IT),New York,Non-Core,,2,0,0,0,0
886,10/13/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
894,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),cl7-all,,New York,Non-Core,,1,0,0,0,0
6061,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,New York,Non-Core,,2,0,1,1,0
907,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd7,Software Engineering,New York,Non-Core,,1,0,0,0,0
908,10/1/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-cc2),cc2-all,Data Analytics,London,Non-Core,,1,0,0,0,0
922,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),dd3,,Boston,Non-Core,,1,0,0,0,0
934,9/19/2018,facebook,(b2c)(l-all)(r-all)(conversions),,,New York,Non-Core,,1,0,0,0,0
8524,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Data Analytics,SF Bay Area,Non-Core,,1,0,1,1,0
941,10/7/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,,SF Bay Area,Non-Core,,1,0,0,0,0
946,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,,New York,Non-Core,,2,0,0,0,0
952,10/3/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad-dd3),dd3-all,Other,New York,Non-Core,,2,0,1,0,0
956,10/12/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
960,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Other,New York,Non-Core,,2,0,0,0,0
11786,10/24/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-java1%),jk2-all,Software Engineering,Chicago,Core,,1,1,1,1,1
998,10/26/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Project Management,Philadelphia,Non-Core,,1,0,0,0,0
1004,9/20/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Product Management,New York,Non-Core,,2,0,0,0,0
12489,10/24/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Software Engineering,SF Bay Area,Core,,1,0,1,1,0
1022,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Data Analytics,SF Bay Area,Non-Core,,1,0,0,0,0
12508,10/24/2018,twitter,(b2c)(l-all)(r-swe)(followerllav4),dd7-all,Software Engineering,SF Bay Area,Core,,1,1,1,1,0
1029,10/1/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,Quality Assurance (QA),France,Non-Core,,1,0,0,0,0
1049,10/16/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,,France,Non-Core,,1,0,0,0,0
1054,10/20/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Other,London,Non-Core,,2,0,1,0,0
1070,10/19/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Product Management,London,Non-Core,,1,0,0,0,0
1104,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jj2-all,,London,Non-Core,,2,0,0,0,0
1120,10/6/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,Product Management,Boston,Non-Core,,1,0,0,0,0
1123,10/22/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd6-all,Other,SF Bay Area,Non-Core,,1,0,0,0,0
1140,10/9/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,,France,Non-Core,,2,0,0,0,0
1142,10/1/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Design,Seattle,Non-Core,,1,0,0,0,0
1150,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv5),dd3,Project Management,New York,Non-Core,,1,0,0,0,0
1151,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,,New York,Non-Core,,2,0,0,0,0
1152,10/15/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,Project Management,London,Non-Core,,1,0,0,0,0
13540,10/24/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd6-all,Software Engineering,Chicago,Core,,1,1,1,1,1
1161,10/18/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd6-all,Information Technology (IT),Boston,Non-Core,,1,0,0,0,0
1162,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,,SF Bay Area,Non-Core,,1,0,0,0,0
2646,10/23/2018,facebook,(b2c)(sf)(r-swe)(tech-mongogithub-laa2-sf-dnf),link-citytestsf3,Product Management,SF Bay Area,Non-Core,,1,1,1,1,0
3003,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Product Management,SF Bay Area,Non-Core,,1,1,1,1,0
1168,10/26/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static2%),jk2-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
3892,10/23/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Information Technology (IT),Other,Non-Core,,2,0,1,1,0
1190,10/24/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Project Management,France,Non-Core,,2,0,0,0,0
1196,9/19/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Project Management,France,Non-Core,,2,0,0,0,0
1210,9/19/2018,facebook,(b2c)(bos)(r-swe)(swe-approvals-Nov2016-Nov2017-lal1-lifetime-budget-0605-0630),legacy-post-bos,,New York,Non-Core,,1,0,0,0,0
1217,10/11/2018,facebook,(b2c)(l-all)(r-all)(retargeting-us-sitevisitor),jj2-all,,New York,Non-Core,,1,0,0,0,0
4683,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,1,1,0
1226,10/23/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
1228,10/25/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Information Technology (IT),London,Non-Core,,1,0,0,0,0
1237,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,,SF Bay Area,Non-Core,,1,0,0,0,0
1251,9/28/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
1258,10/12/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad100),dd3,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
5330,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,Data Analytics,SF Bay Area,Non-Core,,1,0,1,1,0
5919,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),dd3-all,Project Management,Other,Non-Core,,1,0,1,1,0
6327,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
7232,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Information Technology (IT),New York,Non-Core,,1,0,1,1,0
7508,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob1broad),jj2-all,Information Technology (IT),Boston,Non-Core,,1,0,1,1,0
1321,10/24/2018,facebook,(b2c)(l-all)(r-swe)(tech-groupedprolanguages-laa10-all-dnf),link-setyourowncasual2,Project Management,London,Non-Core,,1,0,0,0,0
1323,10/5/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob1interest-dd7),dd7-all,Product Management,New York,Non-Core,,1,0,0,0,0
1357,10/26/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Product Management,SF Bay Area,Non-Core,,1,0,0,0,0
1369,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Design,New York,Non-Core,,1,0,0,0,0
1387,9/26/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,2,0,0,0,0
8575,10/23/2018,twitter,(b2c)(l-all)(r-swe)(onboardlla),dd3-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
1395,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),jk2-all,Quality Assurance (QA),Seattle,Non-Core,,1,0,0,0,0
1397,10/2/2018,twitter,(b2c)(l-all)(r-swe)(keywords),dd6-all,Quality Assurance (QA),New York,Non-Core,,1,0,0,0,0
1398,10/18/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,1,0,0,0,0
1403,10/18/2018,facebook,(b2c)(l-all)(r-swe)(retargeting-us-sitevisitor),dd3-all,Other,Boston,Non-Core,,1,0,0,0,0
1406,10/16/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jj2-all,Software Engineering,Seattle,Non-Core,,2,0,0,0,0
1412,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Other,London,Non-Core,,1,0,0,0,0
1434,10/18/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jj2-all,,Boston,Non-Core,,1,0,0,0,0
1437,9/23/2018,facebook,(b2c)(l-all)(r-all)(conversions),,Information Technology (IT),New York,Non-Core,,1,0,0,0,0
8781,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static-6month),jj2-all,Design,Seattle,Non-Core,,1,0,1,1,0
9709,10/23/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),jk2-all,Product Management,SF Bay Area,Non-Core,,1,0,1,1,0
1465,10/8/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
1468,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jk2-all,Information Technology (IT),SF Bay Area,Non-Core,,1,0,0,0,0
1473,10/17/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Design,France,Non-Core,,2,0,0,0,0
