,Candidates Created Date,Candidates Utm Source,Candidates Utm Campaign,Candidates Utm Content,Candidates Primary Role,Candidates Origination Market,Candidates Subrole Core or Noncore,Candidates Utm Term,Candidates Count,Candidates Approved,Candidates Onboarded,Candidates Qualified Role Onboard,Candidates Participated
5179,10/15/2018,twitter,(b2c)(l-all)(r-swe)(keywordsdevops),Girl-Challenge,Project Management,SF Bay Area,Non-Core,,1,0,1,1,0
5255,10/15/2018,twitter,(b2c)(l-all)(r-swe)(followerlla),dd3-all,Product Management,SF Bay Area,Non-Core,,1,0,1,1,0
4841,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversioncbo-us-qob60d1broad100),jk2-all,,New York,Non-Core,,1,0,0,0,0
6192,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest),jj2-all,Quality Assurance (QA),New York,Non-Core,,1,0,1,1,0
4858,10/10/2018,twitter,(b2c)(l-all)(r-swe)(followerllav2),dd3-all,Project Management,Seattle,Non-Core,,1,0,0,0,0
4863,10/4/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd7-all,Other,New York,Non-Core,,1,0,1,0,0
6258,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),jk2-all,Project Management,Seattle,Non-Core,,1,0,1,1,0
4905,10/10/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qobpv90d),dd3,,Seattle,Non-Core,,1,0,0,0,0
4907,9/21/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Project Management,London,Non-Core,,1,0,0,0,0
6434,10/15/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad),dd3-all,Product Management,Boston,Non-Core,,1,1,1,1,1
4938,10/2/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest-ff6),ff6-all,,France,Non-Core,,3,0,0,0,0
4959,10/14/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest),dd3-all,,London,Non-Core,,2,0,0,0,0
4969,10/20/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_static),dd3-all,Information Technology (IT),Seattle,Non-Core,,1,0,0,0,0
4992,9/22/2018,facebook,(b2c)(fr)(r-swe)(conversions),,,France,Non-Core,,1,0,0,0,0
5001,10/11/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-DevBroadCQOBLAL365),TimeHat,Project Management,SF Bay Area,Non-Core,,1,0,0,0,0
5005,10/19/2018,facebook,(b2c)(fr)(r-swe)(conversion-paris-interest),ff6-all,Data Analytics,France,Non-Core,,1,0,0,0,0
5008,10/26/2018,facebook,(b2c)(sea)(r-all)(conversion-us-coreqob_static),sea,Information Technology (IT),Seattle,Non-Core,,2,0,0,0,0
5024,9/23/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,,London,Non-Core,,2,0,0,0,0
7148,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d1broad),dd3-all,Project Management,New York,Non-Core,,1,1,1,1,1
5049,10/2/2018,facebook,(b2c)(ldn)(r-swe)(conversion-london-interest-dd3),dd3-all,Developer Operations (DevOps),London,Non-Core,,1,0,0,0,0
5057,10/17/2018,facebook,(b2c)(l-all)(r-all)(conversioncore-us-coreqob_static),dd7-all,Data Analytics,Boston,Non-Core,,1,0,0,0,0
5077,10/1/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-qob60d2interest-cc2),cc2-all,Project Management,New York,Non-Core,,1,0,0,0,0
5088,9/19/2018,facebook,(b2c)(ldn)(r-swe)(conversions),,Other,London,Non-Core,,1,0,0,0,0
5108,10/15/2018,facebook,(b2c)(l-all)(r-all)(conversion-london-interest),jk2-all,Product Management,London,Non-Core,,1,0,0,0,0
5122,10/19/2018,facebook,(b2c)(l-all)(r-all)(conversion-us-coreqob_pixel),dd3-all,Other,SF Bay Area,Non-Core,,1,0,1,0,0
5168,9/20/2018,facebook,(b2c)(fr)(r-swe)(conversions),,Other,France,Non-Core,,1,0,0,0,0
5170,10/2/2018,facebook,(b2c)(l-all)(r-swe)(conversion-us-coreqob1broad-dd3),dd3-all,Project Management,Seattle,Non-Core,,1,0,1,0,0
